arch,lob,seed,mape,rmspe,n_companies,n_filtered,training_time,epochs_trained,best_val_loss
gru_attention_unmasked,private_passenger_auto,12,0.16484432457406684,0.272349480981291,284,0,226.36,247,0.00347799900919199
gru_attention_unmasked,private_passenger_auto,13,0.16484432457406684,0.272349480981291,284,0,300.9,328,0.0034981113082418838
gru_attention_unmasked,private_passenger_auto,14,0.05565738994582522,0.10177339194208995,284,0,203.57,220,0.0005161200307257888
gru_attention_unmasked,private_passenger_auto,15,0.16484432457406684,0.272349480981291,284,0,184.89,201,0.007078927010297775
gru_attention_unmasked,private_passenger_auto,16,0.16484432457406684,0.272349480981291,284,0,184.19,201,0.007078927010297775
gru_attention_unmasked,private_passenger_auto,17,0.16484432457406684,0.272349480981291,284,0,184.4,201,0.007078927010297775
gru_attention_unmasked,private_passenger_auto,18,0.16484432457406684,0.272349480981291,284,0,184.13,201,0.007078927010297775
gru_attention_unmasked,private_passenger_auto,19,0.16484432457406684,0.272349480981291,284,0,177.48,201,0.007078927010297775
gru_attention_unmasked,private_passenger_auto,20,0.16484432457406684,0.272349480981291,284,0,171.62,201,0.007078927010297775
gru_attention_unmasked,private_passenger_auto,21,0.16484432457406684,0.272349480981291,284,0,171.49,201,0.007078927010297775
gru_attention_unmasked,private_passenger_auto,22,0.04421707578346547,0.0851897290862249,284,0,207.39,243,0.0005390812034925653
gru_attention_unmasked,private_passenger_auto,23,0.047960407530410046,0.08587449337934795,284,0,194.92,212,0.0005111747628284825
gru_attention_unmasked,private_passenger_auto,24,0.0503940525994233,0.09421619378503569,284,0,400.41,433,0.0006540700301734938
gru_attention_unmasked,private_passenger_auto,25,0.16484432457406684,0.272349480981291,284,0,184.67,201,0.007078927010297775
gru_attention_unmasked,private_passenger_auto,26,0.06846867655108414,0.12088478702707053,284,0,199.99,217,0.0005073167105567538
gru_attention_unmasked,private_passenger_auto,27,0.04607751178683692,0.08495949190550765,284,0,167.49,232,0.0005238192130087151
gru_attention_unmasked,private_passenger_auto,28,0.07210360708089096,0.11936321714865888,284,0,101.72,224,0.0005160975981400245
gru_attention_unmasked,private_passenger_auto,29,0.16484432457406684,0.272349480981291,284,0,85.93,201,0.007078927010297775
gru_attention_unmasked,private_passenger_auto,30,0.16484432457406684,0.272349480981291,284,0,95.53,219,0.003408358794533544
gru_attention_unmasked,private_passenger_auto,31,0.16484432457406684,0.272349480981291,284,0,94.01,201,0.007078927010297775
gru_attention_unmasked,private_passenger_auto,32,0.16484432457406684,0.272349480981291,284,0,146.4,201,0.007078927010297775
gru_attention_unmasked,private_passenger_auto,33,0.16484432457406684,0.272349480981291,284,0,184.81,201,0.007078927010297775
gru_attention_unmasked,private_passenger_auto,34,0.16484432457406684,0.272349480981291,284,0,184.45,201,0.007078927010297775
gru_attention_unmasked,private_passenger_auto,35,0.08313188433934372,0.13389918042937857,284,0,260.3,291,0.0005220282020875149
gru_attention_unmasked,private_passenger_auto,36,0.16484432457406684,0.272349480981291,284,0,171.69,201,0.007078927010297775
gru_attention_unmasked,private_passenger_auto,37,0.16484432457406684,0.272349480981291,284,0,172.39,201,0.007078927010297775
gru_attention_unmasked,private_passenger_auto,38,0.16484432457406684,0.272349480981291,284,0,184.84,201,0.007078927010297775
gru_attention_unmasked,private_passenger_auto,39,0.07962066985793767,0.14157658166239195,284,0,192.05,212,0.004189987175373567
gru_attention_unmasked,private_passenger_auto,40,0.07910651108474645,0.132683313510157,284,0,218.55,237,0.004202409595665004
